Class,Feature,Importance,Mean_SHAP_Active,Mean_SHAP_Overall,Direction
With ezafe & Head Initial,nominal_head_consonant_ending,0.007364484933482073,0.00044572149194343623,0.0014163889864010223,Positive
With ezafe & Head Initial,modifier_upos_PROPN,0.005697113660561392,0.00806738577340203,0.0009259034174724166,Positive
With ezafe & Head Initial,modifier_is_propn,0.005663022339007836,0.009014162459999713,0.0008499448906656111,Positive
With ezafe & Head Initial,ezafe_like_lemma_between,0.004814014854903654,0.005153752151489249,0.000793293708291757,Positive
With ezafe & Head Initial,nominal_head_upos_PRON,0.0035879594317868527,0.017914866540432565,0.0004926728485584496,Positive
With ezafe & Head Initial,nominal_head_ī,0.003330708742892595,0.0021795250887430722,0.0007323933677385406,Positive
With ezafe & Head Initial,modifier_deprel_flat,0.002652554303075184,-0.01903901900901154,0.00030135915316834456,Negative
With ezafe & Head Initial,nominal_head_deprel_acl:relcl,0.001847752219712945,0.008353249785438261,0.0002505181613016498,Positive
With ezafe & Head Initial,nominal_head_deprel_dislocated:topic,0.0013689896773895693,0.007076244708462413,0.0003980190223200602,Positive
With ezafe & Head Initial,nominal_head_deprel_vocative,0.0013393175665985318,-0.012953708414669444,0.00016280650580228549,Negative
